Label,Text,clean_msg,msg_lower,token,spell,no_stopwords,msg_stemmed,msg_lemmatized,msg_n_gram_2,msg_n_gram_3,msg_n_gram_4,msg_string
negative,"Njaremm.. tangan yg disuntik dibuat gerak terasa agak nyerii... moderna, jangan nakal ya didalam tubuh kakakmu ini?",Njaremm tangan yg disuntik dibuat gerak terasa agak nyerii moderna jangan nakal ya didalam tubuh kakakmu ini,njaremm tangan yg disuntik dibuat gerak terasa agak nyerii moderna jangan nakal ya didalam tubuh kakakmu ini,"['njaremm', 'tangan', 'yg', 'disuntik', 'dibuat', 'gerak', 'terasa', 'agak', 'nyerii', 'moderna', 'jangan', 'nakal', 'ya', 'didalam', 'tubuh', 'kakakmu', 'ini']","['nyeri', 'tangan', 'yang', 'disuntik', 'dibuat', 'gerak', 'terasa', 'sedikit', 'nyeri', 'moderna', 'jangan', 'nakal', 'ya', 'didalam', 'tubuh', 'kakakmu', 'ini']","['nyeri', 'tangan', 'disuntik', 'dibuat', 'gerak', 'terasa', 'sedikit', 'nyeri', 'moderna', 'jangan', 'nakal', 'didalam', 'tubuh', 'kakakmu']","['nyeri', 'tangan', 'suntik', 'buat', 'gerak', 'asa', 'sedikit', 'nyeri', 'moderna', 'jangan', 'nakal', 'dalam', 'tubuh', 'kakak']","['nyeri', 'tangan', 'disuntik', 'dibuat', 'gerak', 'terasa', 'sedikit', 'nyeri', 'moderna', 'jangan', 'nakal', 'didalam', 'tubuh', 'kakakmu']",[],[],[],nyeri tangan suntik buat gerak asa sedikit nyeri moderna jangan nakal dalam tubuh kakak
negative,jam setelah vaksin masih terpantau demam,jam setelah vaksin masih terpantau demam,jam setelah vaksin masih terpantau demam,"['jam', 'setelah', 'vaksin', 'masih', 'terpantau', 'demam']","['jam', 'setelah', 'vaksin', 'masih', 'terpantau', 'demam']","['jam', 'vaksin', 'terpantau', 'demam']","['jam', 'vaksin', 'pantau', 'demam']","['jam', 'vaksin', 'terpantau', 'demam']",[],[],[],jam vaksin pantau demam
positive,Ternyata leluasa gerakin tangan & bisa tidur nyamping kanan kiri itu adalah kenikmatan kecil yang baru disadari,Ternyata leluasa gerakin tangan  bisa tidur nyamping kanan kiri itu adalah kenikmatan kecil yang baru disadari,ternyata leluasa gerakin tangan  bisa tidur nyamping kanan kiri itu adalah kenikmatan kecil yang baru disadari,"['ternyata', 'leluasa', 'gerakin', 'tangan', 'bisa', 'tidur', 'nyamping', 'kanan', 'kiri', 'itu', 'adalah', 'kenikmatan', 'kecil', 'yang', 'baru', 'disadari']","['ternyata', 'leluasa', 'gerakkan', 'tangan', 'bisa', 'tidur', 'menyamping', 'kanan', 'kiri', 'itu', 'adalah', 'kenikmatan', 'kecil', 'yang', 'baru', 'disadari']","['ternyata', 'leluasa', 'gerakkan', 'tangan', 'tidur', 'menyamping', 'kanan', 'kiri', 'kenikmatan', 'kecil', 'baru', 'disadari']","['nyata', 'leluasa', 'gerak', 'tangan', 'tidur', 'samping', 'kanan', 'kiri', 'nikmat', 'kecil', 'baru', 'sadar']","['ternyata', 'leluasa', 'gerakkan', 'tangan', 'tidur', 'menyamping', 'kanan', 'kiri', 'kenikmatan', 'kecil', 'baru', 'disadari']",[],[],[],nyata leluasa gerak tangan tidur samping kanan kiri nikmat kecil baru sadar
negative,serius deh  kemarin aja berasa semaput yang terakhir. semalaman berasa kumat sakit yah apalagi kalau ke kayaknya prepare parah sih soalnya pola tidur gw kacau semenjak shifting,serius deh  kemarin aja berasa semaput yang terakhir semalaman berasa kumat sakit yah apalagi kalau ke kayaknya prepare parah sih soalnya pola tidur gw kacau semenjak shifting,serius deh  kemarin aja berasa semaput yang terakhir semalaman berasa kumat sakit yah apalagi kalau ke kayaknya prepare parah sih soalnya pola tidur gw kacau semenjak shifting,"['serius', 'deh', 'kemarin', 'aja', 'berasa', 'semaput', 'yang', 'terakhir', 'semalaman', 'berasa', 'kumat', 'sakit', 'yah', 'apalagi', 'kalau', 'ke', 'kayaknya', 'prepare', 'parah', 'sih', 'soalnya', 'pola', 'tidur', 'gw', 'kacau', 'semenjak', 'shifting']","['serius', 'deh', 'kemarin', 'saja', 'terasa', 'pingsan', 'yang', 'terakhir', 'semalaman', 'terasa', 'kambuh', 'sakit', 'yah', 'apalagi', 'kalau', 'ke', 'sepertinya', 'menyiapkan', 'parah', 'sih', 'soalnya', 'pola', 'tidur', 'aku', 'kacau', 'semenjak', 'pergantian']","['serius', 'kemarin', 'terasa', 'pingsan', 'terakhir', 'semalaman', 'terasa', 'kambuh', 'sakit', 'kalau', 'sepertinya', 'menyiapkan', 'parah', 'soalnya', 'pola', 'tidur', 'kacau', 'semenjak', 'pergantian']","['serius', 'kemarin', 'asa', 'pingsan', 'akhir', 'malam', 'asa', 'kambuh', 'sakit', 'kalau', 'seperti', 'siap', 'parah', 'soal', 'pola', 'tidur', 'kacau', 'semenjak', 'ganti']","['serius', 'kemarin', 'terasa', 'pingsan', 'terakhir', 'semalaman', 'terasa', 'kambuh', 'sakit', 'kalau', 'sepertinya', 'menyiapkan', 'parah', 'soalnya', 'pola', 'tidur', 'kacau', 'semenjak', 'pergantian']",[],[],[],serius kemarin asa pingsan akhir malam asa kambuh sakit kalau seperti siap parah soal pola tidur kacau semenjak ganti
negative,"efek samping itu kemungkinan ada, tapi sejauh konsultasi sama bbrp dokter sih efek muriang ini tidak akan sehebat vaksin moderna. balik lagi ke kondisi tubuh. klo bisa mah ya - atau sblm vaksin harus hidup sehat dlu. tidur makan minum yg",efek samping itu kemungkinan ada tapi sejauh konsultasi sama bbrp dokter sih efek muriang ini tidak akan sehebat vaksin moderna balik lagi ke kondisi tubuh klo bisa mah ya  atau sblm vaksin harus hidup sehat dlu tidur makan minum yg,efek samping itu kemungkinan ada tapi sejauh konsultasi sama bbrp dokter sih efek muriang ini tidak akan sehebat vaksin moderna balik lagi ke kondisi tubuh klo bisa mah ya  atau sblm vaksin harus hidup sehat dlu tidur makan minum yg,"['efek', 'samping', 'itu', 'kemungkinan', 'ada', 'tapi', 'sejauh', 'konsultasi', 'sama', 'bbrp', 'dokter', 'sih', 'efek', 'muriang', 'ini', 'tidak', 'akan', 'sehebat', 'vaksin', 'moderna', 'balik', 'lagi', 'ke', 'kondisi', 'tubuh', 'klo', 'bisa', 'mah', 'ya', 'atau', 'sblm', 'vaksin', 'harus', 'hidup', 'sehat', 'dlu', 'tidur', 'makan', 'minum', 'yg']","['efek', 'samping', 'itu', 'kemungkinan', 'ada', 'tapi', 'sejauh', 'konsultasi', 'sama', 'beberapa', 'dokter', 'sih', 'efek', 'meriang', 'ini', 'tidak', 'akan', 'sehebat', 'vaksin', 'moderna', 'balik', 'lagi', 'ke', 'kondisi', 'tubuh', 'kalau', 'bisa', 'mah', 'ya', 'atau', 'sebelum', 'vaksin', 'harus', 'hidup', 'sehat', 'dahulu', 'tidur', 'makan', 'minum', 'yang']","['efek', 'samping', 'kemungkinan', 'sejauh', 'konsultasi', 'sama', 'beberapa', 'dokter', 'efek', 'meriang', 'sehebat', 'vaksin', 'moderna', 'balik', 'kondisi', 'tubuh', 'kalau', 'vaksin', 'hidup', 'sehat', 'tidur', 'makan', 'minum']","['efek', 'samping', 'mungkin', 'jauh', 'konsultasi', 'sama', 'beberapa', 'dokter', 'efek', 'meriang', 'hebat', 'vaksin', 'moderna', 'balik', 'kondisi', 'tubuh', 'kalau', 'vaksin', 'hidup', 'sehat', 'tidur', 'makan', 'minum']","['efek', 'samping', 'kemungkinan', 'sejauh', 'konsultasi', 'sama', 'beberapa', 'dokter', 'efek', 'meriang', 'sehebat', 'vaksin', 'moderna', 'balik', 'kondisi', 'tubuh', 'kalau', 'vaksin', 'hidup', 'sehat', 'tidur', 'makan', 'minum']",[],[],[],efek samping mungkin jauh konsultasi sama beberapa dokter efek meriang hebat vaksin moderna balik kondisi tubuh kalau vaksin hidup sehat tidur makan minum
negative,btw astrazeneca dapet booster moderna paling top karna dijamin ampuh walau jujur jenis vaksin itu efek sampingnya warbiasa sakitnya dibanding sinovac pfizer,btw astrazeneca dapet booster moderna paling top karna dijamin ampuh walau jujur jenis vaksin itu efek sampingnya warbiasa sakitnya dibanding sinovac pfizer,btw astrazeneca dapet booster moderna paling top karna dijamin ampuh walau jujur jenis vaksin itu efek sampingnya warbiasa sakitnya dibanding sinovac pfizer,"['btw', 'astrazeneca', 'dapet', 'booster', 'moderna', 'paling', 'top', 'karna', 'dijamin', 'ampuh', 'walau', 'jujur', 'jenis', 'vaksin', 'itu', 'efek', 'sampingnya', 'warbiasa', 'sakitnya', 'dibanding', 'sinovac', 'pfizer']","['omong', 'astrazeneca', 'dapat', 'booster', 'moderna', 'paling', 'top', 'karena', 'dijamin', 'ampuh', 'walau', 'jujur', 'jenis', 'vaksin', 'itu', 'efek', 'sampingnya', 'luar biasa', 'sakitnya', 'dibanding', 'sinovac', 'pfizer']","['omong', 'astrazeneca', 'booster', 'moderna', 'paling', 'dijamin', 'ampuh', 'jujur', 'jenis', 'vaksin', 'efek', 'sampingnya', 'luar biasa', 'sakitnya', 'dibanding', 'sinovac', 'pfizer']","['omong', 'astrazeneca', 'booster', 'moderna', 'paling', 'jamin', 'ampuh', 'jujur', 'jenis', 'vaksin', 'efek', 'samping', 'luar biasa', 'sakit', 'banding', 'sinovac', 'pfizer']","['omong', 'astrazeneca', 'booster', 'moderna', 'paling', 'dijamin', 'ampuh', 'jujur', 'jenis', 'vaksin', 'efek', 'sampingnya', 'luar biasa', 'sakitnya', 'dibanding', 'sinovac', 'pfizer']",[],[],[],omong astrazeneca booster moderna paling jamin ampuh jujur jenis vaksin efek samping luar biasa sakit banding sinovac pfizer
positive,Siapin panadol ember untuk tangkis efek samping Moderna,Siapin panadol ember untuk tangkis efek samping Moderna,siapin panadol ember untuk tangkis efek samping moderna,"['siapin', 'panadol', 'ember', 'untuk', 'tangkis', 'efek', 'samping', 'moderna']","['siapin', 'panadol', 'ember', 'untuk', 'tangkis', 'efek', 'samping', 'moderna']","['siapin', 'panadol', 'ember', 'tangkis', 'efek', 'samping', 'moderna']","['siapin', 'panadol', 'ember', 'tangkis', 'efek', 'samping', 'moderna']","['siapin', 'panadol', 'ember', 'tangkis', 'efek', 'samping', 'moderna']",[],[],[],siapin panadol ember tangkis efek samping moderna
negative,setelah melewati masa efek vaksin moderna sudah dihadapkan putaran perut karena tamu bulanan.,setelah melewati masa efek vaksin moderna sudah dihadapkan putaran perut karena tamu bulanan,setelah melewati masa efek vaksin moderna sudah dihadapkan putaran perut karena tamu bulanan,"['setelah', 'melewati', 'masa', 'efek', 'vaksin', 'moderna', 'sudah', 'dihadapkan', 'putaran', 'perut', 'karena', 'tamu', 'bulanan']","['setelah', 'melewati', 'masa', 'efek', 'vaksin', 'moderna', 'sudah', 'dihadapkan', 'putaran', 'perut', 'karena', 'tamu', 'bulanan']","['melewati', 'masa', 'efek', 'vaksin', 'moderna', 'dihadapkan', 'putaran', 'perut', 'tamu', 'bulanan']","['lewat', 'masa', 'efek', 'vaksin', 'moderna', 'hadap', 'putar', 'perut', 'tamu', 'bulan']","['melewati', 'masa', 'efek', 'vaksin', 'moderna', 'dihadapkan', 'putaran', 'perut', 'tamu', 'bulanan']",[],[],[],lewat masa efek vaksin moderna hadap putar perut tamu bulan
negative,"Selamat menjalani vaksin booster kalian semua. Bukan nakutin tapi bener bgttt efek samping moderna separah inii di tubuh gw yg berat badan nya cuman kg. Sembuh hari stlah minum paracetamol, but ruamnya masih ada sampe semingguan",Selamat menjalani vaksin booster kalian semua Bukan nakutin tapi bener bgttt efek samping moderna separah inii di tubuh gw yg berat badan nya cuman kg Sembuh hari stlah minum paracetamol but ruamnya masih ada sampe semingguan,selamat menjalani vaksin booster kalian semua bukan nakutin tapi bener bgttt efek samping moderna separah inii di tubuh gw yg berat badan nya cuman kg sembuh hari stlah minum paracetamol but ruamnya masih ada sampe semingguan,"['selamat', 'menjalani', 'vaksin', 'booster', 'kalian', 'semua', 'bukan', 'nakutin', 'tapi', 'bener', 'bgttt', 'efek', 'samping', 'moderna', 'separah', 'inii', 'di', 'tubuh', 'gw', 'yg', 'berat', 'badan', 'nya', 'cuman', 'kg', 'sembuh', 'hari', 'stlah', 'minum', 'paracetamol', 'but', 'ruamnya', 'masih', 'ada', 'sampe', 'semingguan']","['selamat', 'menjalani', 'vaksin', 'booster', 'kalian', 'semua', 'bukan', 'menakutkan', 'tapi', 'benar', 'sekali', 'efek', 'samping', 'moderna', 'separah', 'ini', 'di', 'tubuh', 'aku', 'yang', 'berat', 'badan', 'nya', 'hanya', 'kilogram', 'sembuh', 'hari', 'setelah', 'minum', 'paracetamol', 'tapi', 'ruamnya', 'masih', 'ada', 'sampai', 'semingguan']","['selamat', 'menjalani', 'vaksin', 'booster', 'semua', 'bukan', 'menakutkan', 'benar', 'sekali', 'efek', 'samping', 'moderna', 'separah', 'tubuh', 'berat', 'badan', 'kilogram', 'sembuh', 'hari', 'minum', 'paracetamol', 'ruamnya', 'semingguan']","['selamat', 'jalan', 'vaksin', 'booster', 'semua', 'bukan', 'takut', 'benar', 'sekali', 'efek', 'samping', 'moderna', 'parah', 'tubuh', 'berat', 'badan', 'kilogram', 'sembuh', 'hari', 'minum', 'paracetamol', 'ruam', 'minggu']","['selamat', 'menjalani', 'vaksin', 'booster', 'semua', 'bukan', 'menakutkan', 'benar', 'sekali', 'efek', 'samping', 'moderna', 'separah', 'tubuh', 'berat', 'badan', 'kilogram', 'sembuh', 'hari', 'minum', 'paracetamol', 'ruamnya', 'semingguan']",[],[],[],selamat jalan vaksin booster semua bukan takut benar sekali efek samping moderna parah tubuh berat badan kilogram sembuh hari minum paracetamol ruam minggu
negative,"Efek samping moderna jauh lebih strong daripada Pfizer. Udah tiga kali minum Panadol, demamnya nggak turun - turun. Meriang pula",Efek samping moderna jauh lebih strong daripada Pfizer Udah tiga kali minum Panadol demamnya nggak turun  turun Meriang pula,efek samping moderna jauh lebih strong daripada pfizer udah tiga kali minum panadol demamnya nggak turun  turun meriang pula,"['efek', 'samping', 'moderna', 'jauh', 'lebih', 'strong', 'daripada', 'pfizer', 'udah', 'tiga', 'kali', 'minum', 'panadol', 'demamnya', 'nggak', 'turun', 'turun', 'meriang', 'pula']","['efek', 'samping', 'moderna', 'jauh', 'lebih', 'kuat', 'daripada', 'pfizer', 'sudah', 'tiga', 'kali', 'minum', 'panadol', 'demamnya', 'tidak', 'turun', 'turun', 'meriang', 'pula']","['efek', 'samping', 'moderna', 'jauh', 'lebih', 'kuat', 'pfizer', 'tiga', 'kali', 'minum', 'panadol', 'demamnya', 'turun', 'turun', 'meriang']","['efek', 'samping', 'moderna', 'jauh', 'lebih', 'kuat', 'pfizer', 'tiga', 'kali', 'minum', 'panadol', 'demam', 'turun', 'turun', 'meriang']","['efek', 'samping', 'moderna', 'jauh', 'lebih', 'kuat', 'pfizer', 'tiga', 'kali', 'minum', 'panadol', 'demamnya', 'turun', 'turun', 'meriang']",[],[],[],efek samping moderna jauh lebih kuat pfizer tiga kali minum panadol demam turun turun meriang
